Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,SKU,Category,Sub-Category,Product Name,Sales,Quantity,Unit Price
1,US-CN-2014-509909,1/6/2014,1/8/2014,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,420.25,9,49
2,US-CN-2014-602310,1/6/2014,1/7/2014,First Class,JO-15145,Jack O'Briant,Consumer,United States,Athens,Georgia,30605,South,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,926.26,9,108
3,US-SB-2014-450194,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Small Business,United States,Henderson,Kentucky,42420,South,BAG-SHO-1000-266,Handbags,Shoulder Bag,Soft Fleming Shell Pink,11552.49,26,449
4,US-CN-2014-370539,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Consumer,United States,Henderson,Kentucky,42420,South,ACC-SUN-1000-493,Accessories,Sunglasses,Oversized Inlay,1137.81,6,199
5,US-CN-2014-124938,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Consumer,United States,Henderson,Kentucky,42420,South,ACC-FRA-1000-467,Accessories,Fragrance,Bloom Blush,1417.97,6,248
6,US-CN-2014-115269,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Consumer,United States,Henderson,Kentucky,42420,South,ACC-WAT-1000-330,Small Leather,Wallets,Wallet on Chain,1709.57,6,299
7,US-SB-2014-784058,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Small Business,United States,Henderson,Kentucky,42420,South,ACC-WAT-1000-136,Small Leather,Wallets,Wristlet Perry Coral Pink,1372.23,11,120
8,US-SB-2014-342732,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Small Business,United States,Henderson,Kentucky,42420,South,ACC-KCH-1000-372,Accessories,Keychains,Legacy Logo Metal Keychain,445.98,11,39
9,US-CN-2014-573327,1/6/2014,1/9/2014,Standard Class,ME-17320,Maria Etezadi,Consumer,United States,Henderson,Kentucky,42420,South,ACC-BELT-1000-252,Accessories,Belts,Bow Loop Belt Rosy Cheeks,140.08,3,49
10,US-SB-2014-387747,1/7/2014,1/10/2014,Standard Class,VS-21820,Vivek Sundaresam,Small Business,United States,Huntsville,Texas,77340,Central,BAG-MINI-1000-461,Handbags,Mini Bags,Perry Mini Bag Lemon Drop,11473.7,58,199
11,US-SB-2014-572055,1/7/2014,1/10/2014,Standard Class,VS-21820,Vivek Sundaresam,Small Business,United States,Huntsville,Texas,77340,Central,ACC-SUN-1000-248,Accessories,Sunglasses,Painted Rim,26771.97,135,199
12,US-CN-2014-321070,1/8/2014,1/10/2014,Second Class,CS-12250,Chris Selesnick,Consumer,United States,Bossier City,Louisiana,71111,South,SL-PCH-1000-280,Small Leather,Pouches,Classic Pencil Pouch,801.62,8,99
13,US-SB-2014-626933,1/8/2014,1/10/2014,Second Class,CS-12250,Chris Selesnick,Small Business,United States,Bossier City,Louisiana,71111,South,ACC-WAT-1000-265,Accessories,Watches,Hollis Leather Watch,3222.66,16,199
14,US-SB-2014-327752,1/8/2014,1/10/2014,Second Class,ND-18370,Natalie DeCherney,Small Business,United States,Mount Pleasant,South Carolina,29464,South,BAG-SHO-1000-266,Handbags,Shoulder Bag,Soft Fleming Shell Pink,7271.23,16,449
15,US-SB-2014-255756,1/8/2014,1/11/2014,Standard Class,BD-11605,Brian Dahlen,Small Business,United States,San Francisco,California,94109,West,BAG-TOT-1000-324,Handbags,Tote,Triple Compartment Tote Silver Maple,5384.59,13,399
16,US-CN-2014-693690,1/8/2014,1/11/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,BAG-CRO-1000-216,Handbags,Cross Body Bag,Flap Crossbody Red Apple,3635.61,8,449
17,US-SB-2014-143973,1/8/2014,1/11/2014,Standard Class,BD-11605,Brian Dahlen,Small Business,United States,San Francisco,California,94109,West,ACC-FRA-1000-398,Accessories,Fragrance,Colorfully Luxe,1457.48,13,108
18,US-SB-2014-339615,1/8/2014,1/11/2014,Standard Class,MM-17920,Michael Moore,Small Business,United States,Newark,Ohio,43055,East,ACC-BELT-1000-156,Accessories,Belts,Bow Loop Belt Black,925.77,19,49
19,US-CN-2014-599827,1/8/2014,1/11/2014,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,SL-PCH-1000-283,Small Leather,Pouches,Stripe Large Pouch,534.41,5,99
20,US-SB-2014-343772,1/8/2014,1/9/2014,First Class,BS-11590,Brendan Sweed,Small Business,United States,Philadelphia,Pennsylvania,19140,East,BAG-CRO-1000-148,Handbags,Cross Body Bag,Miller Crossbody Camello,4307.68,11,399
21,US-SB-2014-217184,1/8/2014,1/9/2014,First Class,EH-13990,Erica Hackney,Small Business,United States,Roswell,Georgia,30076,South,SL-CLT-1000-418,Small Leather,Clutches,Drawstring Bag Qulted,2685.55,13,199
22,US-SB-2014-413879,1/8/2014,1/10/2014,Second Class,DL-13315,Delfina Latchford,Small Business,United States,Philadelphia,Pennsylvania,19134,East,BAG-MINI-1000-356,Handbags,Mini Bags,Perry Mini Bag Bright Indigo,3222.66,16,199
